utterance,sentiment,emotion,check,By,prepro
"04. ""Disgusted beyond words, need to shake it off.""",negative,Disgust,TRUE,M, disgusted beyond words need to shake it off
"05. ""Just witnessed something utterly revolting, ugh!""",negative,Disgust,TRUE,M, just witnessed something utterly revolting ugh
"06. ""Feeling repelled by what I encountered, not cool!""",negative,Disgust,TRUE,M, feeling repelled by what i encountered not cool
"07. ""Grossed out to the max, need to erase that image.""",negative,Disgust,TRUE,M, grossed out to the max need to erase that image
"08. ""That was truly disgusting, can't get it out of my head.""",negative,Disgust,TRUE,E, that was truly disgusting cant get it out of my head
"09. ""Feeling queasy after seeing something really gross.""",negative,Disgust,TRUE,E, feeling queasy after seeing something really gross
"10. ""So grossed out right now, wish I hadn't seen that!""",negative,Disgust,TRUE,E, so grossed out right now wish i hadnt seen that
"01. ""Feeling really scared, something doesn't feel right.""",negative,Fear,TRUE,M, feeling really scared something doesnt feel right
"02. ""Heart's racing, can't shake off this sense of dread.""",negative,Fear,TRUE,M, hearts racing cant shake off this sense of dread
"03. ""Scared out of my wits, need some reassurance.""",negative,Fear,TRUE,M, scared out of my wits need some reassurance
"04. ""Something's giving me the chills, feeling really uneasy.""",negative,Fear,TRUE,M, somethings giving me the chills feeling really uneasy
"05. ""Anxiety levels off the charts, can't calm down.""",negative,Fear,TRUE,M, anxiety levels off the charts cant calm down
"06. ""Terrified about what might happen, need to stay strong.""",negative,Fear,TRUE,M, terrified about what might happen need to stay strong
"07. ""Fearing the worst, trying to keep a brave face.""",negative,Fear,TRUE,M, fearing the worst trying to keep a brave face
"08. ""Feeling a knot in my stomach, scared to move forward.""",negative,Fear,TRUE,E, feeling a knot in my stomach scared to move forward
"09. ""That was really frightening, still shaking.""",negative,Fear,TRUE,E, that was really frightening still shaking
"10. ""Feeling the fear creep in, trying to breathe through it.""",negative,Fear,TRUE,E, feeling the fear creep in trying to breathe through it
